Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
14.400001,1.012903,-0.605161,0.227536,-1.512348,-2.417234,-84.140488
14.450000,0.991728,-0.606961,0.226098,1.000354,-3.115172,-83.934654
14.500000,0.976958,-0.612042,0.224690,3.594856,-3.741296,-84.158348
14.550000,0.968900,-0.618982,0.229400,4.621611,-3.947829,-84.835197
14.600000,0.966111,-0.625264,0.234543,3.359364,-2.745869,-85.855782
14.650001,0.967041,-0.628339,0.234971,0.996126,-0.850770,-86.890404
14.700000,0.967797,-0.627400,0.231453,-1.376908,1.323985,-87.630035
14.750000,0.964875,-0.623189,0.227633,-2.965589,2.830652,-88.236664
14.800000,0.960885,-0.618803,0.226547,-0.698462,2.922500,-88.877716
14.850000,0.959188,-0.617760,0.223110,2.317233,3.067456,-89.422997
14.900001,0.961046,-0.618759,0.221886,3.542597,3.379192,-90.215614
14.950000,0.964214,-0.620981,0.223939,3.291816,3.591413,-91.275192
15.000000,0.965648,-0.622716,0.226439,2.023267,3.040043,-92.333435
15.050000,0.964045,-0.622517,0.228788,0.512166,1.811000,-93.062340
15.100000,0.957602,-0.620218,0.231158,-0.812851,0.365883,-93.299843
15.150001,0.944775,-0.616258,0.231315,-1.581061,-0.762329,-93.167412
15.200000,0.925953,-0.612358,0.226053,-0.972274,-2.394607,-92.609734
15.250000,0.907285,-0.611713,0.221910,1.655309,-3.883458,-91.955986
15.300000,0.895125,-0.614886,0.225884,3.502085,-4.307812,-91.829948
15.350000,0.888438,-0.620092,0.232892,3.757704,-3.825390,-92.316368
15.400001,0.885497,-0.624120,0.234925,2.117887,-2.000818,-93.207680
15.450000,0.885575,-0.624846,0.232484,-0.213656,0.421771,-94.117943
15.500000,0.885104,-0.621858,0.227595,-2.215431,2.753358,-94.842773
15.550000,0.881603,-0.615977,0.226886,-3.155532,3.748016,-95.497643
15.600000,0.875781,-0.609748,0.230603,-1.893873,2.988134,-96.118187
15.650001,0.869123,-0.606179,0.226993,1.047668,2.479609,-96.506104
15.700000,0.864896,-0.606044,0.223120,3.386300,2.697771,-96.946808
15.750000,0.863615,-0.607570,0.225065,3.277078,2.396616,-97.624771
15.800000,0.861656,-0.608530,0.227877,2.004487,2.076551,-98.458229
15.850000,0.857793,-0.607683,0.228706,0.148374,1.037459,-99.276848
15.900001,0.849910,-0.604226,0.229278,-1.507792,-0.199255,-99.805275
15.950000,0.835954,-0.598285,0.228980,-2.346390,-1.066649,-100.109787
16.000000,0.815642,-0.590746,0.228436,-2.400747,-1.567208,-100.147797
16.049999,0.794659,-0.585096,0.226142,-0.516016,-3.081450,-99.961922
16.099998,0.778053,-0.584566,0.223721,1.882231,-4.535887,-100.079529
16.150000,0.768035,-0.588267,0.228213,2.991625,-5.041804,-100.664177
16.199999,0.763582,-0.593445,0.234607,2.380351,-3.513967,-101.595726
16.250000,0.764063,-0.597030,0.235399,0.724257,-0.965232,-102.601860
16.299999,0.765896,-0.596927,0.231228,-0.997420,1.823253,-103.423180
16.349998,0.765058,-0.592549,0.227109,-2.127549,3.665423,-104.143394
16.400000,0.761961,-0.585958,0.230520,-1.416627,2.711118,-104.943817
16.449999,0.757354,-0.581060,0.228829,1.119492,1.924773,-105.426125
