Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
62.299999,1.338043,0.187917,0.182574,0.004905,-0.001789,-6.945710
62.349998,1.338125,0.188032,0.182215,-0.001770,-0.003063,-6.949680
62.399998,1.338061,0.187984,0.181996,-0.003967,-0.002439,-6.962995
62.450001,1.338082,0.187918,0.181861,-0.004970,-0.003039,-6.963593
62.500000,1.338133,0.188239,0.225462,0.205189,-0.198002,-7.306143
62.549999,1.335692,0.186791,0.319005,0.577394,-0.524013,-7.599642
62.599998,1.332096,0.185470,0.357498,0.687901,-0.661576,-7.527649
62.649998,1.331089,0.183886,0.335890,0.753028,-0.856013,-7.818631
62.700001,1.331256,0.183631,0.270367,0.839098,-1.231628,-8.275232
62.750000,1.328893,0.182204,0.216561,1.072738,-1.816361,-8.475410
62.799999,1.331645,0.183063,0.184512,-0.031211,-0.070616,-8.562881
62.849998,1.335017,0.184989,0.183960,-0.010655,0.019593,-8.574569
62.899998,1.334718,0.185233,0.183132,-0.014341,0.020833,-8.604658
62.950001,1.334257,0.184835,0.182543,0.005032,0.004661,-8.610390
63.000000,1.334507,0.184824,0.182207,0.000055,0.010650,-8.608483
63.049999,1.334685,0.184976,0.181989,0.000916,0.011740,-8.618891
63.099998,1.334711,0.185007,0.181844,-0.000664,0.006249,-8.616307
63.149998,1.334743,0.184967,0.181756,-0.001057,0.007180,-8.619206
63.200001,1.334285,0.184828,0.225568,-0.109846,-0.083509,-8.711233
63.250000,1.332208,0.182337,0.318424,0.400703,-0.580174,-8.135582
63.299999,1.329941,0.179940,0.355886,0.787502,-0.810669,-7.625141
63.349998,1.329013,0.178724,0.332533,1.165492,-1.046596,-7.470625
63.399998,1.328866,0.177947,0.266570,1.580910,-1.312251,-7.303792
63.450001,1.327169,0.176228,0.212193,2.207883,-1.793101,-6.936827
63.500000,1.330250,0.179477,0.184412,0.023146,0.102616,-6.618989
63.549999,1.332238,0.182031,0.183931,-0.031595,0.050010,-6.544497
63.599998,1.331386,0.180486,0.183055,-0.024558,0.023032,-6.629958
63.649998,1.330795,0.179941,0.182508,-0.007212,-0.000186,-6.620048
